index,TYPE
667755,Theft from Vehicle
242982,Offence Against a Person
689150,Theft from Vehicle
38743,Break and Enter Commercial
408087,Other Theft
547309,Theft from Vehicle
271750,Offence Against a Person
740152,Theft of Vehicle
32640,Break and Enter Commercial
810235,Vehicle Collision or Pedestrian Struck (with Injury)
175573,Mischief
138549,Mischief
564852,Theft from Vehicle
1105,Break and Enter Commercial
594831,Theft from Vehicle
315394,Other Theft
772199,Theft of Vehicle
540397,Theft from Vehicle
59138,Break and Enter Residential/Other
202937,Mischief
660889,Theft from Vehicle
610695,Theft from Vehicle
696892,Theft from Vehicle
635198,Theft from Vehicle
551704,Theft from Vehicle
225308,Offence Against a Person
454882,Other Theft
496061,Theft from Vehicle
315687,Other Theft
518156,Theft from Vehicle
342508,Other Theft
766994,Theft of Vehicle
42603,Break and Enter Commercial
286921,Other Theft
431473,Other Theft
562406,Theft from Vehicle
259655,Offence Against a Person
751706,Theft of Vehicle
632362,Theft from Vehicle
640977,Theft from Vehicle
217168,Offence Against a Person
547507,Theft from Vehicle
525600,Theft from Vehicle
572111,Theft from Vehicle
152653,Mischief
685905,Theft from Vehicle
793565,Vehicle Collision or Pedestrian Struck (with Injury)
350847,Other Theft
663949,Theft from Vehicle
661486,Theft from Vehicle
115959,Mischief
501485,Theft from Vehicle
210444,Offence Against a Person
185283,Mischief
1468,Break and Enter Commercial
48634,Break and Enter Residential/Other
542517,Theft from Vehicle
809294,Vehicle Collision or Pedestrian Struck (with Injury)
543124,Theft from Vehicle
297627,Other Theft
33081,Break and Enter Commercial
141773,Mischief
366559,Other Theft
694464,Theft from Vehicle
725988,Theft of Bicycle
8937,Break and Enter Commercial
118875,Mischief
251821,Offence Against a Person
615365,Theft from Vehicle
269099,Offence Against a Person
454299,Other Theft
154680,Mischief
544636,Theft from Vehicle
36494,Break and Enter Commercial
162844,Mischief
311928,Other Theft
407660,Other Theft
144156,Mischief
611829,Theft from Vehicle
796266,Vehicle Collision or Pedestrian Struck (with Injury)
620763,Theft from Vehicle
340097,Other Theft
329535,Other Theft
471153,Other Theft
639567,Theft from Vehicle
7595,Break and Enter Commercial
336888,Other Theft
565346,Theft from Vehicle
618242,Theft from Vehicle
329098,Other Theft
527936,Theft from Vehicle
739499,Theft of Bicycle
564851,Theft from Vehicle
280996,Other Theft
429990,Other Theft
364116,Other Theft
240208,Offence Against a Person
40681,Break and Enter Commercial
659876,Theft from Vehicle
519868,Theft from Vehicle
340918,Other Theft
294472,Other Theft
356877,Other Theft
358008,Other Theft
352766,Other Theft
403337,Other Theft
359046,Other Theft
606196,Theft from Vehicle
379327,Other Theft
788064,Vehicle Collision or Pedestrian Struck (with Injury)
237494,Offence Against a Person
3586,Break and Enter Commercial
694693,Theft from Vehicle
558462,Theft from Vehicle
4941,Break and Enter Commercial
368675,Other Theft
9393,Break and Enter Commercial
332174,Other Theft
38376,Break and Enter Commercial
237944,Offence Against a Person
237995,Offence Against a Person
536948,Theft from Vehicle
348126,Other Theft
172798,Mischief
382997,Other Theft
119711,Mischief
381432,Other Theft
245907,Offence Against a Person
120954,Mischief
121589,Mischief
796340,Vehicle Collision or Pedestrian Struck (with Injury)
610511,Theft from Vehicle
298592,Other Theft
199657,Mischief
153067,Mischief
572827,Theft from Vehicle
155751,Mischief
43662,Break and Enter Commercial
531028,Theft from Vehicle
365659,Other Theft
653948,Theft from Vehicle
583396,Theft from Vehicle
505383,Theft from Vehicle
613578,Theft from Vehicle
661698,Theft from Vehicle
215498,Offence Against a Person
177647,Mischief
615939,Theft from Vehicle
290750,Other Theft
290107,Other Theft
29425,Break and Enter Commercial
134681,Mischief
476200,Other Theft
208045,Mischief
292672,Other Theft
276126,Offence Against a Person
357947,Other Theft
268149,Offence Against a Person
43539,Break and Enter Commercial
614522,Theft from Vehicle
3010,Break and Enter Commercial
501252,Theft from Vehicle
661980,Theft from Vehicle
89986,Break and Enter Residential/Other
752208,Theft of Vehicle
212255,Offence Against a Person
605818,Theft from Vehicle
234798,Offence Against a Person
328701,Other Theft
187693,Mischief
201670,Mischief
135360,Mischief
477356,Theft from Vehicle
146438,Mischief
762030,Theft of Vehicle
36378,Break and Enter Commercial
696857,Theft from Vehicle
662884,Theft from Vehicle
202586,Mischief
605402,Theft from Vehicle
619135,Theft from Vehicle
702283,Theft from Vehicle
526406,Theft from Vehicle
7971,Break and Enter Commercial
327870,Other Theft
728660,Theft of Bicycle
439941,Other Theft
721248,Theft of Bicycle
129981,Mischief
517363,Theft from Vehicle
363173,Other Theft
170517,Mischief
207626,Mischief
503383,Theft from Vehicle
273022,Offence Against a Person
607987,Theft from Vehicle
539029,Theft from Vehicle
740053,Theft of Bicycle
716601,Theft of Bicycle
361438,Other Theft
27521,Break and Enter Commercial
153456,Mischief
59884,Break and Enter Residential/Other
497046,Theft from Vehicle
297334,Other Theft
609244,Theft from Vehicle
572500,Theft from Vehicle
645551,Theft from Vehicle
41269,Break and Enter Commercial
338740,Other Theft
539482,Theft from Vehicle
559913,Theft from Vehicle
21964,Break and Enter Commercial
749940,Theft of Vehicle
361235,Other Theft
338278,Other Theft
447930,Other Theft
508421,Theft from Vehicle
309993,Other Theft
375757,Other Theft
178439,Mischief
807240,Vehicle Collision or Pedestrian Struck (with Injury)
373390,Other Theft
361189,Other Theft
735151,Theft of Bicycle
805502,Vehicle Collision or Pedestrian Struck (with Injury)
495083,Theft from Vehicle
607801,Theft from Vehicle
585849,Theft from Vehicle
508375,Theft from Vehicle
18591,Break and Enter Commercial
29551,Break and Enter Commercial
647323,Theft from Vehicle
38782,Break and Enter Commercial
628969,Theft from Vehicle
567205,Theft from Vehicle
32679,Break and Enter Commercial
13937,Break and Enter Commercial
639191,Theft from Vehicle
706488,Theft of Bicycle
174017,Mischief
234487,Offence Against a Person
43831,Break and Enter Commercial
611494,Theft from Vehicle
706185,Theft of Bicycle
706752,Theft of Bicycle
525127,Theft from Vehicle
440607,Other Theft
96616,Break and Enter Residential/Other
504308,Theft from Vehicle
344115,Other Theft
160770,Mischief
54711,Break and Enter Residential/Other
89944,Break and Enter Residential/Other
744142,Theft of Vehicle
204482,Mischief
566197,Theft from Vehicle
723477,Theft of Bicycle
161371,Mischief
348338,Other Theft
166066,Mischief
610238,Theft from Vehicle
16434,Break and Enter Commercial
496611,Theft from Vehicle
525619,Theft from Vehicle
531507,Theft from Vehicle
283330,Other Theft
144719,Mischief
418340,Other Theft
669556,Theft from Vehicle
193171,Mischief
426906,Other Theft
163990,Mischief
124914,Mischief
215490,Offence Against a Person
245657,Offence Against a Person
529369,Theft from Vehicle
522270,Theft from Vehicle
220215,Offence Against a Person
606203,Theft from Vehicle
223922,Offence Against a Person
333266,Other Theft
269339,Offence Against a Person
744701,Theft of Vehicle
114713,Mischief
195388,Mischief
146746,Mischief
491752,Theft from Vehicle
496533,Theft from Vehicle
527558,Theft from Vehicle
49271,Break and Enter Residential/Other
775178,Theft of Vehicle
109240,Break and Enter Residential/Other
305303,Other Theft
789287,Vehicle Collision or Pedestrian Struck (with Injury)
259068,Offence Against a Person
641261,Theft from Vehicle
597347,Theft from Vehicle
719739,Theft of Bicycle
44897,Break and Enter Residential/Other
453199,Other Theft
752742,Theft of Vehicle
291969,Other Theft
40996,Break and Enter Commercial
336879,Other Theft
139305,Mischief
138507,Mischief
182130,Mischief
186481,Mischief
698359,Theft from Vehicle
413127,Other Theft
389434,Other Theft
329751,Other Theft
33560,Break and Enter Commercial
5475,Break and Enter Commercial
663386,Theft from Vehicle
520893,Theft from Vehicle
206230,Mischief
130135,Mischief
385781,Other Theft
117655,Mischief
113644,Break and Enter Residential/Other
632248,Theft from Vehicle
581614,Theft from Vehicle
267551,Offence Against a Person
139814,Mischief
337277,Other Theft
708463,Theft of Bicycle
442287,Other Theft
373399,Other Theft
444916,Other Theft
219487,Offence Against a Person
329985,Other Theft
361330,Other Theft
218416,Offence Against a Person
173780,Mischief
527445,Theft from Vehicle
174729,Mischief
244035,Offence Against a Person
669726,Theft from Vehicle
151665,Mischief
355824,Other Theft
323353,Other Theft
488335,Theft from Vehicle
184552,Mischief
35976,Break and Enter Commercial
151871,Mischief
114929,Mischief
542766,Theft from Vehicle
378862,Other Theft
218638,Offence Against a Person
119767,Mischief
185226,Mischief
52367,Break and Enter Residential/Other
477079,Theft from Vehicle
271338,Offence Against a Person
727917,Theft of Bicycle
392371,Other Theft
683093,Theft from Vehicle
201330,Mischief
74494,Break and Enter Residential/Other
319750,Other Theft
87824,Break and Enter Residential/Other
643688,Theft from Vehicle
434232,Other Theft
189365,Mischief
319738,Other Theft
429599,Other Theft
278516,Offence Against a Person
673118,Theft from Vehicle
518509,Theft from Vehicle
592460,Theft from Vehicle
265402,Offence Against a Person
466619,Other Theft
575780,Theft from Vehicle
147813,Mischief
567993,Theft from Vehicle
348630,Other Theft
305720,Other Theft
319801,Other Theft
217848,Offence Against a Person
683032,Theft from Vehicle
321497,Other Theft
248921,Offence Against a Person
154810,Mischief
395554,Other Theft
29702,Break and Enter Commercial
152893,Mischief
361300,Other Theft
25230,Break and Enter Commercial
19903,Break and Enter Commercial
329738,Other Theft
15217,Break and Enter Commercial
287388,Other Theft
69631,Break and Enter Residential/Other
623379,Theft from Vehicle
592557,Theft from Vehicle
359381,Other Theft
535863,Theft from Vehicle
145527,Mischief
21537,Break and Enter Commercial
799989,Vehicle Collision or Pedestrian Struck (with Injury)
145153,Mischief
275444,Offence Against a Person
725600,Theft of Bicycle
606222,Theft from Vehicle
365768,Other Theft
270443,Offence Against a Person
536882,Theft from Vehicle
356239,Other Theft
286922,Other Theft
321131,Other Theft
361480,Other Theft
619778,Theft from Vehicle
346309,Other Theft
13435,Break and Enter Commercial
202433,Mischief
123297,Mischief
205255,Mischief
631798,Theft from Vehicle
699765,Theft from Vehicle
619828,Theft from Vehicle
523864,Theft from Vehicle
3235,Break and Enter Commercial
306027,Other Theft
111786,Break and Enter Residential/Other
280979,Other Theft
741834,Theft of Vehicle
342384,Other Theft
664911,Theft from Vehicle
439948,Other Theft
541593,Theft from Vehicle
542223,Theft from Vehicle
606194,Theft from Vehicle
604804,Theft from Vehicle
686042,Theft from Vehicle
393881,Other Theft
82119,Break and Enter Residential/Other
222384,Offence Against a Person
41900,Break and Enter Commercial
756463,Theft of Vehicle
625246,Theft from Vehicle
681585,Theft from Vehicle
708947,Theft of Bicycle
331027,Other Theft
338004,Other Theft
35502,Break and Enter Commercial
350052,Other Theft
297731,Other Theft
338973,Other Theft
373378,Other Theft
14676,Break and Enter Commercial
321823,Other Theft
255053,Offence Against a Person
551679,Theft from Vehicle
523491,Theft from Vehicle
608110,Theft from Vehicle
529532,Theft from Vehicle
659964,Theft from Vehicle
168752,Mischief
331092,Other Theft
541568,Theft from Vehicle
5384,Break and Enter Commercial
352007,Other Theft
177329,Mischief
532142,Theft from Vehicle
283077,Other Theft
439858,Other Theft
48036,Break and Enter Residential/Other
540361,Theft from Vehicle
105118,Break and Enter Residential/Other
601714,Theft from Vehicle
506533,Theft from Vehicle
504328,Theft from Vehicle
656162,Theft from Vehicle
702838,Theft from Vehicle
670360,Theft from Vehicle
31317,Break and Enter Commercial
599215,Theft from Vehicle
392124,Other Theft
456484,Other Theft
96117,Break and Enter Residential/Other
429810,Other Theft
35556,Break and Enter Commercial
395165,Other Theft
591448,Theft from Vehicle
458310,Other Theft
216756,Offence Against a Person
599389,Theft from Vehicle
764731,Theft of Vehicle
721920,Theft of Bicycle
645420,Theft from Vehicle
326849,Other Theft
271877,Offence Against a Person
551133,Theft from Vehicle
138444,Mischief
117777,Mischief
274938,Offence Against a Person
153021,Mischief
42852,Break and Enter Commercial
238740,Offence Against a Person
199179,Mischief
547372,Theft from Vehicle
719808,Theft of Bicycle
800347,Vehicle Collision or Pedestrian Struck (with Injury)
642302,Theft from Vehicle
275383,Offence Against a Person
245005,Offence Against a Person
451652,Other Theft
586045,Theft from Vehicle
138305,Mischief
628453,Theft from Vehicle
672114,Theft from Vehicle
144472,Mischief
224357,Offence Against a Person
435594,Other Theft
695812,Theft from Vehicle
248537,Offence Against a Person
337371,Other Theft
270295,Offence Against a Person
694189,Theft from Vehicle
140453,Mischief
723242,Theft of Bicycle
303377,Other Theft
35579,Break and Enter Commercial
582606,Theft from Vehicle
632843,Theft from Vehicle
384559,Other Theft
203995,Mischief
503821,Theft from Vehicle
188643,Mischief
192699,Mischief
712474,Theft of Bicycle
431457,Other Theft
611693,Theft from Vehicle
358383,Other Theft
323551,Other Theft
342956,Other Theft
484129,Theft from Vehicle
172803,Mischief
271357,Offence Against a Person
115056,Mischief
71599,Break and Enter Residential/Other
697136,Theft from Vehicle
424161,Other Theft
628715,Theft from Vehicle
294246,Other Theft
680678,Theft from Vehicle
699383,Theft from Vehicle
566497,Theft from Vehicle
636487,Theft from Vehicle
727728,Theft of Bicycle
289815,Other Theft
577393,Theft from Vehicle
636611,Theft from Vehicle
231273,Offence Against a Person
122186,Mischief
173554,Mischief
204885,Mischief
577199,Theft from Vehicle
696736,Theft from Vehicle
402721,Other Theft
631851,Theft from Vehicle
638068,Theft from Vehicle
595621,Theft from Vehicle
636468,Theft from Vehicle
203429,Mischief
444289,Other Theft
502400,Theft from Vehicle
404558,Other Theft
339662,Other Theft
692954,Theft from Vehicle
346616,Other Theft
241896,Offence Against a Person
397781,Other Theft
449703,Other Theft
518023,Theft from Vehicle
524405,Theft from Vehicle
255036,Offence Against a Person
304581,Other Theft
292222,Other Theft
371520,Other Theft
801453,Vehicle Collision or Pedestrian Struck (with Injury)
597373,Theft from Vehicle
417869,Other Theft
200510,Mischief
365480,Other Theft
588951,Theft from Vehicle
497016,Theft from Vehicle
130341,Mischief
520453,Theft from Vehicle
663234,Theft from Vehicle
331328,Other Theft
470683,Other Theft
666760,Theft from Vehicle
251129,Offence Against a Person
95845,Break and Enter Residential/Other
472103,Other Theft
213352,Offence Against a Person
395153,Other Theft
227969,Offence Against a Person
726478,Theft of Bicycle
112718,Break and Enter Residential/Other
562740,Theft from Vehicle
493161,Theft from Vehicle
498911,Theft from Vehicle
198268,Mischief
142628,Mischief
408266,Other Theft
436267,Other Theft
31153,Break and Enter Commercial
723353,Theft of Bicycle
579589,Theft from Vehicle
134084,Mischief
385112,Other Theft
89926,Break and Enter Residential/Other
213568,Offence Against a Person
441409,Other Theft
534851,Theft from Vehicle
18621,Break and Enter Commercial
119364,Mischief
721534,Theft of Bicycle
575301,Theft from Vehicle
625690,Theft from Vehicle
623685,Theft from Vehicle
412104,Other Theft
364338,Other Theft
349494,Other Theft
370909,Other Theft
9846,Break and Enter Commercial
484050,Theft from Vehicle
435582,Other Theft
402313,Other Theft
42407,Break and Enter Commercial
172484,Mischief
664923,Theft from Vehicle
455697,Other Theft
278192,Offence Against a Person
109506,Break and Enter Residential/Other
448759,Other Theft
220858,Offence Against a Person
712727,Theft of Bicycle
289210,Other Theft
486825,Theft from Vehicle
149988,Mischief
486612,Theft from Vehicle
606833,Theft from Vehicle
356042,Other Theft
9444,Break and Enter Commercial
685588,Theft from Vehicle
683819,Theft from Vehicle
710935,Theft of Bicycle
62512,Break and Enter Residential/Other
461300,Other Theft
550676,Theft from Vehicle
247135,Offence Against a Person
196357,Mischief
375826,Other Theft
233320,Offence Against a Person
418,Break and Enter Commercial
194164,Mischief
465173,Other Theft
89206,Break and Enter Residential/Other
49871,Break and Enter Residential/Other
783574,Vehicle Collision or Pedestrian Struck (with Fatality)
142422,Mischief
624537,Theft from Vehicle
74351,Break and Enter Residential/Other
153931,Mischief
709131,Theft of Bicycle
361512,Other Theft
729706,Theft of Bicycle
316128,Other Theft
786339,Vehicle Collision or Pedestrian Struck (with Injury)
233780,Offence Against a Person
292692,Other Theft
488058,Theft from Vehicle
55195,Break and Enter Residential/Other
460671,Other Theft
183587,Mischief
713595,Theft of Bicycle
184130,Mischief
300119,Other Theft
28055,Break and Enter Commercial
337344,Other Theft
280985,Other Theft
197964,Mischief
413122,Other Theft
713874,Theft of Bicycle
138207,Mischief
46818,Break and Enter Residential/Other
363299,Other Theft
130720,Mischief
774928,Theft of Vehicle
641546,Theft from Vehicle
121435,Mischief
10642,Break and Enter Commercial
341365,Other Theft
306490,Other Theft
221029,Offence Against a Person
16972,Break and Enter Commercial
188077,Mischief
437376,Other Theft
80117,Break and Enter Residential/Other
133524,Mischief
436285,Other Theft
606929,Theft from Vehicle
580593,Theft from Vehicle
310923,Other Theft
276553,Offence Against a Person
248250,Offence Against a Person
491629,Theft from Vehicle
639190,Theft from Vehicle
505925,Theft from Vehicle
52150,Break and Enter Residential/Other
117533,Mischief
227639,Offence Against a Person
705034,Theft from Vehicle
231492,Offence Against a Person
408918,Other Theft
720824,Theft of Bicycle
1457,Break and Enter Commercial
221472,Offence Against a Person
803919,Vehicle Collision or Pedestrian Struck (with Injury)
416142,Other Theft
50413,Break and Enter Residential/Other
221628,Offence Against a Person
97716,Break and Enter Residential/Other
227443,Offence Against a Person
58824,Break and Enter Residential/Other
23589,Break and Enter Commercial
408506,Other Theft
210041,Mischief
708919,Theft of Bicycle
365926,Other Theft
361313,Other Theft
349808,Other Theft
710973,Theft of Bicycle
631044,Theft from Vehicle
702772,Theft from Vehicle
301840,Other Theft
479348,Theft from Vehicle
198496,Mischief
338984,Other Theft
326482,Other Theft
330827,Other Theft
369154,Other Theft
651805,Theft from Vehicle
148,Break and Enter Commercial
111820,Break and Enter Residential/Other
761031,Theft of Vehicle
527718,Theft from Vehicle
476201,Other Theft
180569,Mischief
634526,Theft from Vehicle
804439,Vehicle Collision or Pedestrian Struck (with Injury)
227105,Offence Against a Person
464381,Other Theft
145376,Mischief
315686,Other Theft
676871,Theft from Vehicle
250544,Offence Against a Person
8228,Break and Enter Commercial
571113,Theft from Vehicle
582526,Theft from Vehicle
247132,Offence Against a Person
20122,Break and Enter Commercial
71354,Break and Enter Residential/Other
36111,Break and Enter Commercial
695753,Theft from Vehicle
275825,Offence Against a Person
792319,Vehicle Collision or Pedestrian Struck (with Injury)
603574,Theft from Vehicle
641738,Theft from Vehicle
499865,Theft from Vehicle
243125,Offence Against a Person
361527,Other Theft
143118,Mischief
220743,Offence Against a Person
13572,Break and Enter Commercial
540695,Theft from Vehicle
240981,Offence Against a Person
273848,Offence Against a Person
710213,Theft of Bicycle
685817,Theft from Vehicle
552303,Theft from Vehicle
572230,Theft from Vehicle
787210,Vehicle Collision or Pedestrian Struck (with Injury)
37761,Break and Enter Commercial
140542,Mischief
444685,Other Theft
227106,Offence Against a Person
358247,Other Theft
795909,Vehicle Collision or Pedestrian Struck (with Injury)
390568,Other Theft
296842,Other Theft
219593,Offence Against a Person
559770,Theft from Vehicle
740079,Theft of Bicycle
94682,Break and Enter Residential/Other
167470,Mischief
203968,Mischief
298813,Other Theft
173428,Mischief
547463,Theft from Vehicle
389336,Other Theft
141426,Mischief
317879,Other Theft
461038,Other Theft
568654,Theft from Vehicle
581720,Theft from Vehicle
32735,Break and Enter Commercial
187386,Mischief
484045,Theft from Vehicle
172691,Mischief
585499,Theft from Vehicle
482724,Theft from Vehicle
439946,Other Theft
465722,Other Theft
121690,Mischief
187350,Mischief
796422,Vehicle Collision or Pedestrian Struck (with Injury)
695844,Theft from Vehicle
679192,Theft from Vehicle
19441,Break and Enter Commercial
484893,Theft from Vehicle
603584,Theft from Vehicle
780714,Theft of Vehicle
517279,Theft from Vehicle
155352,Mischief
722120,Theft of Bicycle
202832,Mischief
387961,Other Theft
670346,Theft from Vehicle
621489,Theft from Vehicle
741311,Theft of Vehicle
639186,Theft from Vehicle
594839,Theft from Vehicle
218414,Offence Against a Person
697509,Theft from Vehicle
462595,Other Theft
331089,Other Theft
120946,Mischief
118042,Mischief
461450,Other Theft
108642,Break and Enter Residential/Other
491320,Theft from Vehicle
303327,Other Theft
76828,Break and Enter Residential/Other
177222,Mischief
32348,Break and Enter Commercial
513506,Theft from Vehicle
275236,Offence Against a Person
628293,Theft from Vehicle
151307,Mischief
649200,Theft from Vehicle
724667,Theft of Bicycle
229170,Offence Against a Person
632378,Theft from Vehicle
112131,Break and Enter Residential/Other
612407,Theft from Vehicle
638089,Theft from Vehicle
160519,Mischief
785984,Vehicle Collision or Pedestrian Struck (with Injury)
660887,Theft from Vehicle
122348,Mischief
799009,Vehicle Collision or Pedestrian Struck (with Injury)
726753,Theft of Bicycle
693007,Theft from Vehicle
675734,Theft from Vehicle
740320,Theft of Vehicle
585045,Theft from Vehicle
560451,Theft from Vehicle
190382,Mischief
137769,Mischief
305113,Other Theft
172369,Mischief
634755,Theft from Vehicle
235011,Offence Against a Person
607289,Theft from Vehicle
197519,Mischief
638075,Theft from Vehicle
200216,Mischief
624700,Theft from Vehicle
348609,Other Theft
11471,Break and Enter Commercial
694359,Theft from Vehicle
255987,Offence Against a Person
292901,Other Theft
190876,Mischief
681699,Theft from Vehicle
696259,Theft from Vehicle
692549,Theft from Vehicle
378782,Other Theft
722580,Theft of Bicycle
197322,Mischief
171794,Mischief
197401,Mischief
768226,Theft of Vehicle
540392,Theft from Vehicle
683527,Theft from Vehicle
167063,Mischief
61148,Break and Enter Residential/Other
713089,Theft of Bicycle
469288,Other Theft
283923,Other Theft
343112,Other Theft
129928,Mischief
559478,Theft from Vehicle
114762,Mischief
279690,Other Theft
404901,Other Theft
792318,Vehicle Collision or Pedestrian Struck (with Injury)
465658,Other Theft
169923,Mischief
698775,Theft from Vehicle
367498,Other Theft
581315,Theft from Vehicle
700137,Theft from Vehicle
283399,Other Theft
177655,Mischief
283697,Other Theft
644250,Theft from Vehicle
462100,Other Theft
792354,Vehicle Collision or Pedestrian Struck (with Injury)
437373,Other Theft
290123,Other Theft
805404,Vehicle Collision or Pedestrian Struck (with Injury)
667352,Theft from Vehicle
505611,Theft from Vehicle
75435,Break and Enter Residential/Other
359072,Other Theft
631523,Theft from Vehicle
370856,Other Theft
24415,Break and Enter Commercial
797072,Vehicle Collision or Pedestrian Struck (with Injury)
472723,Other Theft
743413,Theft of Vehicle
435605,Other Theft
627604,Theft from Vehicle
22549,Break and Enter Commercial
626596,Theft from Vehicle
695229,Theft from Vehicle
36861,Break and Enter Commercial
136039,Mischief
377979,Other Theft
209565,Mischief
395922,Other Theft
361284,Other Theft
79825,Break and Enter Residential/Other
14398,Break and Enter Commercial
63097,Break and Enter Residential/Other
212625,Offence Against a Person
29683,Break and Enter Commercial
558188,Theft from Vehicle
427957,Other Theft
223895,Offence Against a Person
751893,Theft of Vehicle
24091,Break and Enter Commercial
640756,Theft from Vehicle
163366,Mischief
727995,Theft of Bicycle
371636,Other Theft
17442,Break and Enter Commercial
545884,Theft from Vehicle
214885,Offence Against a Person
340064,Other Theft
77097,Break and Enter Residential/Other
654507,Theft from Vehicle
231346,Offence Against a Person
169188,Mischief
529796,Theft from Vehicle
562564,Theft from Vehicle
159473,Mischief
768768,Theft of Vehicle
714117,Theft of Bicycle
487586,Theft from Vehicle
16908,Break and Enter Commercial
151876,Mischief
470712,Other Theft
4030,Break and Enter Commercial
325366,Other Theft
331330,Other Theft
781973,Theft of Vehicle
